lsoa11cd,gamb_dist,pubs_dist,off_dist
E01007262,2.253529412,1.702156863,1.151176471
E01007263,1.6615625,1.2315625,0.8875
E01007264,0.806666667,0.594888889,1.394888889
E01007265,0.505789474,0.596315789,1.231578947
E01007266,0.812222222,0.843703704,0.568518519
E01007267,0.455333333,0.557333333,0.975666667
E01007268,0.564545455,0.443030303,1.241515152
E01007269,0.7942,1.9562,1.9422
E01007270,1.853658537,2.047560976,2.310487805
E01007271,0.361071429,1.441428571,1.530714286
E01007272,0.2675,1.565625,1.1075
E01007273,1.627142857,2.561020408,1.649387755
E01007274,1.275517241,3.818103448,1.433965517
E01007275,0.240571429,1.264285714,0.715714286
E01007276,0.440714286,1.408214286,1.58
E01007277,0.450909091,1.666545455,0.247090909
E01007278,0.187352941,1.675882353,0.865
E01007279,0.80483871,1.940322581,0.673225806
E01007280,2.094444444,1.275555556,2.236666667
E01007281,1.646530612,0.602653061,0.976938776
E01007282,0.907857143,0.757142857,0.476428571
E01007283,3.12296875,1.9671875,2.4240625
E01007284,2.684285714,0.912380952,3.080714286
E01007285,1.984736842,0.927105263,2.173684211
E01007286,1.0253125,1.6296875,1.150625
E01007287,0.583617021,1.795957447,0.667234043
E01007288,1.268461538,1.843076923,1.278461538
E01007289,0.859393939,0.839393939,0.680909091
E01007290,0.84,1.323,1.11975
E01007291,0.691780822,0.798767123,1.068630137
E01007292,0.365625,0.901458333,1.192291667
E01007293,0.492727273,1.545227273,1.894545455
E01007294,0.343333333,0.6375,1.064166667
E01007295,0.402857143,1.356666667,1.478809524
E01007296,0.281515152,1.227575758,1.784848485
E01007297,1.104583333,1.092083333,1.196666667
E01007298,0.582647059,0.603529412,0.595294118
E01007299,1.644137931,1.508275862,1.736896552
E01007300,0.727045455,0.8725,0.896136364
E01007301,0.749512195,0.705853659,0.869512195
E01007302,0.558431373,0.405294118,0.579411765
E01007303,0.426071429,1.11,1.277857143
E01007304,0.772666667,1.499666667,2.537
E01007305,1.437647059,1.347352941,1.449117647
E01007306,1.457575758,1.445151515,1.659393939
E01007307,1.041666667,0.615,1.668888889
E01007308,0.770638298,0.507021277,1.340212766
E01007309,0.692972973,0.653783784,1.05027027
E01007310,1.020882353,0.709117647,1.543823529
E01007311,0.785151515,0.636969697,1.164848485
E01007312,0.497560976,0.865853659,0.621463415
E01007313,0.289756098,0.412926829,0.553414634
E01007314,0.781612903,0.420645161,0.994193548
E01007315,0.7384375,0.9203125,0.5590625
E01007316,0.598275862,0.55,0.857586207
E01007317,1.328,1.234,1.35
E01007318,0.780833333,1.487222222,1.215277778
E01007319,1.75,1.119459459,1.448648649
E01007320,0.512368421,0.940526316,0.638157895
E01007321,2.564222222,1.794444444,2.214444444
E01007322,0.934615385,0.813076923,0.835576923
E01007323,4.037692308,1.229230769,1.136153846
E01007324,3.354117647,0.947058824,0.524117647
E01007325,3.71,1.480869565,0.99173913
E01007326,2.774722222,1.723611111,1.05
E01007327,2.672881356,2.201694915,1.58
E01007328,1.482826087,5.100434783,4.71826087
E01007329,2.529375,5.9853125,2.6921875
E01007330,2.4746,4.1402,3.7322
E01007331,1.968604651,5.37372093,2.142790698
E01007332,0.598591549,6.708309859,4.381126761
E01007333,0.691351351,6.830810811,4.899459459
E01007334,1.641071429,1.043571429,1.629285714
E01007335,1.6728125,0.7878125,1.8396875
E01007336,0.684545455,0.506818182,0.715151515
E01007337,1.153454545,0.644,1.490909091
E01007338,0.907090909,0.337818182,1.848181818
E01007339,1.080769231,0.382307692,1.838205128
E01007340,0.502631579,0.317719298,1.463421053
E01007341,1.7836,4.4304,1.8224
E01007342,1.061515152,4.609090909,1.236969697
E01007343,0.549473684,3.923421053,0.715526316
E01007344,1.014130435,2.325,1.493478261
E01007345,0.245952381,3.367380952,0.339761905
E01007346,0.490697674,3.00744186,0.668139535
E01007347,1.277906977,3.753953488,1.319302326
E01007348,0.955454545,3.275454545,3.438484848
E01007349,3.560769231,4.540384615,3.377692308
E01007350,1.323095238,2.988333333,3.086428571
E01007351,1.406046512,3.544651163,3.666511628
E01007352,0.543611111,2.568611111,2.731388889
E01007353,0.57173913,2.142173913,2.306304348
E01007354,4.641458333,5.77,3.305208333
E01007355,2.582592593,2.613333333,3.435555556
E01007356,3.612790698,1.531627907,2.24
E01007357,3.355945946,1.832972973,2.476216216
E01007358,1.900540541,2.288648649,3.465135135
E01007359,1.146938776,2.699591837,5.147755102
E01007360,0.5005,2.60625,5.0105
E01007361,3.135227273,1.438636364,2.138181818
E01007362,3.901568627,0.961568627,1.53254902
E01007363,3.183953488,2.434651163,3.15255814
E01007364,0.481111111,2.505833333,3.229722222
E01007365,1.013076923,1.732692308,3.201153846
E01007366,0.995178571,2.462142857,4.455357143
E01007367,0.772592593,2.923333333,4.433703704
E01007368,0.905142857,2.687714286,4.129428571
E01007369,0.454705882,0.388823529,2.781568627
E01007370,0.830930233,0.743023256,2.955813953
E01007371,1.165897436,1.156923077,2.327179487
E01007372,3.07137931,2.956206897,0.780344828
E01007373,2.605714286,2.464081633,0.669387755
E01007374,3.0909375,2.9728125,1.2321875
E01007375,2.297857143,2.18047619,0.742380952
E01007376,0.544347826,0.468913043,2.47
E01007377,3.205185185,3.065555556,0.898888889
E01007378,3.142765957,3.024468085,0.972340426
E01007379,3.170277778,1.825555556,4.993333333
E01007380,2.93,1.314,2.874444444
E01007381,2.473478261,1.592391304,2.383695652
E01007382,0.589090909,0.655,5.87
E01007383,1.133548387,1.550645161,5.27483871
E01007384,0.592653061,1.354081633,6.096734694
E01007385,1.313,2.281,4.9744
E01007386,1.831891892,1.165675676,4.447567568
E01007387,3.251621622,0.908378378,4.042972973
E01007388,1.290377358,2.792264151,1.522264151
E01007389,0.764651163,3.037906977,0.714186047
E01007390,1.033055556,2.603055556,1.675
E01007391,0.656326531,3.362040816,0.692857143
E01007392,1.032894737,3.580263158,0.974210526
E01007393,0.482045455,3.491818182,0.760909091
E01007394,1.3025,3.179375,1.5540625
E01007395,1.396603774,3.595471698,1.321320755
E01007396,0.378378378,1.732432432,2.064054054
E01007397,0.705111111,1.964888889,1.954
E01007398,2.740555556,1.945555556,4.474259259
E01007399,1.772391304,0.844565217,3.712608696
E01007400,0.979827586,0.870862069,2.378103448
E01007402,2.237272727,2.270454545,2.408863636
E01007403,2.093076923,1.806410256,2.221282051
E01007404,0.790833333,0.662222222,2.656388889
E01007405,1.802222222,1.176222222,2.226
E01007406,0.781666667,1.511041667,2.642916667
E01007408,1.684,1.177,1.592
E01007409,1.200217391,0.809782609,0.922391304
E01007410,1.284883721,1.304418605,0.653023256
E01007411,3.368064516,0.823870968,0.674516129
E01007413,1.576904762,0.828333333,2.508095238
E01007414,1.346111111,0.427222222,2.195185185
E01007415,1.323076923,1.944358974,3.092820513
E01007416,1.277916667,1.733333333,1.984166667
E01007417,0.377368421,0.645263158,1.912631579
E01007418,3.274177215,4.76,7.765189873
E01007419,2.963098592,3.712676056,8.903098592
E01007420,3.105714286,3.708333333,8.756190476
E01007421,4.217857143,4.784107143,6.409464286
E01007422,3.13212766,3.154893617,5.396382979
E01007423,5.932307692,6.266730769,7.495384615
E01007424,1.909264706,1.936176471,3.848382353
E01007425,2.637164179,2.637164179,9.437164179
E01007426,4.997580645,4.500322581,8.207419355
E01007427,2.2895,2.2895,9.6945
E01007428,1.520615385,1.520615385,7.891846154
E01007429,0.489130435,0.489130435,6.886956522
E01007430,1.157407407,1.157407407,7.369814815
E01007431,1.074285714,1.074285714,6.277619048
E01007432,1.015384615,1.015384615,6.710769231
E01007433,0.89195122,4.935609756,4.38195122
E01007434,0.518627451,4.300784314,4.391176471
E01007435,1.102432432,3.621891892,4.171351351
E01007436,1.590540541,3.651081081,3.076756757
E01007437,2.12745098,3.08254902,2.460196078
E01007438,1.044871795,4.13025641,4.628717949
E01007439,1.464545455,3.304545455,4.035151515
E01007440,0.294545455,4.818484848,4.825454545
E01007441,1.000285714,0.697428571,1.267714286
E01007442,2.143529412,1.543529412,4.493529412
E01007443,0.536351351,0.382837838,1.273108108
E01007444,1.615,1.340681818,3.312727273
E01007445,0.631702128,1.092340426,2.468297872
E01007446,1.804166667,1.540416667,2.204166667
E01007447,1.303684211,1.377894737,1.340263158
E01007448,0.605192982,0.774,0.686175439
E01007449,0.798275862,1.25137931,1.357931034
E01007450,1.821632653,1.912040816,1.849591837
E01007451,0.54,0.514468085,0.639574468
E01007452,1.2975,1.2975,1.402777778
E01007453,0.990810811,1.056756757,1.066756757
E01007455,1.413870968,1.084193548,1.526129032
E01007456,2.4904,3.059,2.621
E01007457,1.859555556,3.326444444,1.802666667
E01007458,3.029583333,2.070208333,2.771875
E01007459,2.984117647,2.090735294,3.996323529
E01007460,2.31025,1.27875,3.21
E01007461,2.632115385,1.500961538,3.451346154
E01007462,2.704324324,1.920810811,2.489459459
E01007463,3.032075472,1.927924528,3.698867925
E01007464,0.842142857,1.897857143,0.954642857
E01007465,1.167435897,2.293846154,1.281025641
E01007466,0.656969697,1.784545455,0.77
E01007467,1,1.4290625,0.90625
E01007468,1.415,4.748157895,3.736052632
E01007469,0.644166667,5.254444444,4.241666667
E01007470,0.481363636,5.781363636,4.768636364
E01007471,1.614827586,2.740344828,1.727931034
E01007472,1.014444444,4.931111111,3.915925926
E01007473,1.529655172,4.189310345,3.176896552
E01007474,0.6428125,4.7765625,3.7634375
E01007475,3.050285714,0.481714286,6.438571429
E01007476,3.048125,0.4878125,6.023125
E01007477,3.533823529,0.684117647,5.501764706
E01007478,1.837,0.88775,5.166
E01007479,0.74804878,0.785853659,7.752926829
E01007480,0.668421053,0.783684211,6.718421053
E01007482,0.687142857,0.954571429,6.506
E01007483,0.9955,1.539,6.1565
E01007484,0.634642857,1.298928571,6.708928571
E01007485,0.988846154,1.835,6.526923077
E01007486,0.827777778,1.505555556,6.1975
E01007487,2.262978723,9.515106383,8.555106383
E01007488,4.048780488,9.177804878,10.04
E01007489,0.947402597,8.911168831,8.292597403
E01007490,2.914375,7.680625,6.7653125
E01007491,1.255517241,8.185517241,7.173448276
E01007492,0.84375,8.9835,7.97
E01007493,3.420175439,10.17,10.24438596
E01007494,0.8,1.09030303,2.928181818
E01007495,1.389649123,0.86754386,3.459298246
E01007496,1.43,0.981764706,3.582941176
E01007497,1.890384615,1.441153846,4.043846154
E01007498,1.227666667,0.855666667,3.38
E01007499,1.643,1.135,3.795666667
E01007500,1.618409091,1.412045455,3.771363636
E01007501,2.282162162,1.792432432,4.434864865
E01007502,3.1125,0.768214286,5.210892857
E01007503,2.265333333,1.585,4.418
E01007504,1.631388889,1.368333333,1.793888889
E01007505,1.727857143,3.712857143,4.085
E01007506,1.5596875,3.5265625,3.9259375
E01007507,1.877647059,1.409411765,1.991176471
E01007508,0.608666667,2.632,3.029333333
E01007509,0.828205128,2.754358974,3.151025641
E01007510,0.412162162,1.918918919,2.378108108
E01007511,2.28575,4.28125,4.27425
E01007512,0.714736842,0.564736842,1.375263158
E01007513,0.829166667,0.951666667,1.970416667
E01007514,1.01,1.321363636,1.816818182
E01007515,0.384594595,0.323513514,2.252702703
E01007516,0.897241379,1.027931034,1.403448276
E01007517,1.6128125,1.1846875,1.6971875
E01007518,1.317857143,1.206071429,2.695357143
E01007519,0.964,0.8755,3.31
E01007520,2.330526316,0.714736842,5.011052632
E01007521,1.788787879,0.617272727,4.531515152
E01007522,0.472325581,1.524418605,4.969767442
E01007523,1.47,0.831515152,5.314848485
E01007524,0.785625,0.83625,4.743125
E01007525,1.178333333,2.398055556,4.686666667
E01007526,2.050925926,1.687407407,3.577777778
E01007527,2.432093023,1.205116279,4.034883721
E01007528,0.533793103,1.960689655,4.942413793
E01007529,1.223673469,1.154081633,1.537755102
E01007530,1.532,1.438888889,1.908
E01007531,1.345277778,1.607777778,2.228888889
E01007532,1.124814815,1.009444444,1.501296296
E01007533,1.180689655,1.514482759,2.001724138
E01007534,1.352407407,1.567222222,2.675555556
E01007535,0.322222222,1.333333333,2.403333333
E01007536,0.525441176,0.488088235,8.926029412
E01007537,1.192424242,1.064848485,8.477272727
E01007538,1.287058824,1.287058824,8.028529412
E01007539,0.641481481,0.641481481,8.255555556
E01007540,0.981351351,0.932432432,8.130540541
E01007541,1.543,1.51425,7.48625
E01007542,1.601851852,1.579444444,9.860185185
E01007543,2.6375,1.632083333,8.543333333
E01007544,2.659772727,2.410454545,8.8575
E01007545,0.99875,1.2590625,6.395625
E01007546,1.372,1.6075,5.724
E01007547,0.3975,0.714166667,6.796944444
E01007548,0.534516129,0.461290323,6.953225806
E01007549,0.929393939,0.864545455,7.68969697
E01007550,1.063529412,0.827352941,7.832647059
E01007551,2.361666667,2.004761905,4.763333333
E01007552,2.215483871,1.835483871,5.085483871
E01007553,2.717446809,0.590212766,11.6106383
