X,Y,Crime_type,Month
525704.026187114,183506.002473383,Theft from the person,2019-03
525563.989489009,183505.987390369,Theft from the person,2019-03
525378.022048958,183752.979960465,Theft from the person,2019-03
525378.022048958,183752.979960465,Theft from the person,2019-03
525411.979323713,183692.952370365,Theft from the person,2019-03
525411.979323713,183692.952370365,Theft from the person,2019-03
525411.979323713,183692.952370365,Theft from the person,2019-03
525552.017101052,183557.989580991,Theft from the person,2019-03
525411.979323713,183692.952370365,Theft from the person,2019-03
525411.979323713,183692.952370365,Theft from the person,2019-03
525378.022048958,183752.979960465,Theft from the person,2019-03
525378.022048958,183752.979960465,Theft from the person,2019-03
525278.026812984,183860.004128105,Theft from the person,2019-03
525292.008880776,183867.025483093,Theft from the person,2019-03
525278.026812984,183860.004128105,Theft from the person,2019-03
525278.026812984,183860.004128105,Theft from the person,2019-03
525292.008880776,183867.025483093,Theft from the person,2019-03
525867.012267264,183909.955184125,Theft from the person,2019-03
528678.023060459,184138.985659973,Theft from the person,2019-03
528953.017187961,183890.028295427,Theft from the person,2019-03
528882.974826501,183942.997597161,Theft from the person,2019-03
528882.974826501,183942.997597161,Theft from the person,2019-03
528882.974826501,183942.997597161,Theft from the person,2019-03
528882.974826501,183942.997597161,Theft from the person,2019-03
528882.974826501,183942.997597161,Theft from the person,2019-03
528678.023060459,184138.985659973,Theft from the person,2019-03
528882.974826501,183942.997597161,Theft from the person,2019-03
528884.003245111,183773.995723747,Theft from the person,2019-03
528882.974826501,183942.997597161,Theft from the person,2019-03
528882.974826501,183942.997597161,Theft from the person,2019-03
528953.017187961,183890.028295427,Theft from the person,2019-03
528882.974826501,183942.997597161,Theft from the person,2019-03
528882.974826501,183942.997597161,Theft from the person,2019-03
528882.974826501,183942.997597161,Theft from the person,2019-03
528953.017187961,183890.028295427,Theft from the person,2019-03
528882.974826501,183942.997597161,Theft from the person,2019-03
528882.974826501,183942.997597161,Theft from the person,2019-03
528882.974826501,183942.997597161,Theft from the person,2019-03
528882.974826501,183942.997597161,Theft from the person,2019-03
