station,lat,long
Westferry,51.50963815,-0.026323137
Westminster,51.50140159,-0.125002079
White City,51.51223244,-0.224631931
White Hart Lane,51.60503477,-0.070870327
Whitechapel,51.51958779,-0.059420485
Whitton,51.44958819,-0.357682061
Whyteleafe,51.30992932,-0.081135165
Whyteleafe South,51.3034898,-0.076712515
Willesden Green,51.54937329,-0.222407604
Willesden Junction,51.53223396,-0.243909143
Wimbledon,51.42110784,-0.206662836
Wimbledon Chase,51.40953093,-0.21408977
Wimbledon Park,51.43458095,-0.199186275
Winchmore Hill,51.63388686,-0.100916933
Wood Green,51.59745373,-0.109526589
Wood Lane,51.50965819,-0.224472609
Wood Street,51.58666994,-0.001953898
Woodford,51.60720184,0.034056202
Woodgrange Park,51.54905254,0.044572496
Woodmansterne,51.31901858,-0.154262129
Woodside,51.38709768,-0.065347178
Woodside Park,51.6178684,-0.185425505
Woolwich,51.49157837,0.071819378
Woolwich Arsenal,51.48990712,0.069193906
Woolwich Dockyard,51.49110779,0.054612348
Worcester Park,51.38110449,-0.245575292
